6/2/2023,Bought,EQ,VOO,1,-392.77,392.765,0,VANGUARD S&P 500 ETF          PROSPECTUS ON INITIAL PURCHASE
6/1/2023,Transfer,UNKNOWN, ,0,620,0,0,ACH DEPOSIT                   REFID:81053444906;
5/31/2023,Dividend,EQ,NATI,0,41.16,0,0,NATIONAL INSTRUMENTS CORP     CASH DIV  ON     147 SHS      REC 05/09/23 PAY 05/31/23
5/2/2023,Adjustment,EQ,NATI,48,0,0,0,NATIONAL INSTRUMENTS CORP     RAND 364602066
4/28/2023,Dividend,EQ,SPY,0,3.01,0,0,SPDR S&P 500 ETF TRUST        CASH DIV  ON       2 SHS      REC 03/20/23 PAY 04/28/23     NON-QUALIFIED DIVIDEND
3/29/2023,Dividend,EQ,VOO,0,2.97,0,0,VANGUARD S&P 500 ETF          CASH DIV  ON       2 SHS      REC 03/27/23 PAY 03/29/23     NON-QUALIFIED DIVIDEND
3/29/2023,Dividend,EQ,VIG,0,1.5,0,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           CASH DIV  ON       2 SHS
3/28/2023,Dividend,EQ,VUG,0,0.86,0,0,VANGUARD INDEX FUNDS          VANGUARD GROWTH ETF           CASH DIV  ON       2 SHS      REC 03/24/23 PAY 03/28/23
3/27/2023,Dividend,EQ,SCHG,0,0.17,0,0,SCHWAB STRATEGIC TR US LCAP   GR ETF                        CASH DIV  ON       2 SHS      REC 03/23/23 PAY 03/27/23
3/27/2023,Dividend,EQ,SCHA,0,0.41,0,0,SCHWAB STRATEGIC TR           US SMALL-CAP ETF              CASH DIV  ON       3 SHS      REC 03/23/23 PAY 03/27/23
3/6/2023,Dividend,EQ,NATI,0,27.72,0,0,NATIONAL INSTRUMENTS CORP     CASH DIV  ON      99 SHS      REC 02/13/23 PAY 03/06/23
2/3/2023,Adjustment,EQ,NATI,74,0,0,0,NATIONAL INSTRUMENTS CORP     RAND 361065167
1/25/2023,Transfer,UNKNOWN, ,0,-5.84,0,0,ACH WITHDRAWL                 REFID:71604306906;
1/23/2023,Adjustment,UNKNOWN, ,0,-770.08,0,0,To T-1 TID 70192086
1/23/2023,Bought,EQ,VUG,1,-229.21,229.2088,0,VANGUARD INDEX FUNDS          VANGUARD GROWTH ETF           PROSPECTUS ON INITIAL PURCHASE
1/23/2023,Bought,EQ,VIG,1,-154.1,154.0992,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           PROSPECTUS ON INITIAL PURCHAS
1/23/2023,Bought,EQ,SPY,1,-398.58,398.5794,0,SPDR S&P 500 ETF TRUST        PROSPECTUS ON INITIAL PURCHASE
1/23/2023,Adjustment,UNKNOWN, ,0,770.08,0,0,Olink TID 70192086
1/20/2023,Bought,EQ,SPY,1,-389.95,389.95,0,SPDR S&P 500 ETF TRUST        PROSPECTUS ON INITIAL PURCHASE
1/20/2023,Bought,EQ,VOO,2,-716.8,358.4,0,VANGUARD S&P 500 ETF          PROSPECTUS ON INITIAL PURCHASE
1/20/2023,Transfer,UNKNOWN, ,0,-100,0,0,ACH WITHDRAWL                 REFID:71288495906;
1/19/2023,Sold,EQ,NATI,-15,770.08,52.47,16.95,NATIONAL INSTRUMENTS CORP
1/19/2023,Adjustment,UNKNOWN, ,0,-1200.87,0,0,To T-1 TID 70174426
1/19/2023,Adjustment,UNKNOWN, ,0,1200.87,0,0,Olink TID 70174426
1/17/2023,Sold,EQ,NATI,-23,1200.87,52.95,16.95,NATIONAL INSTRUMENTS CORP
