12/15/2023 0:00,Vanguard Total Intl Stock Index I,Employee 401(k) Account,Dividends/Capital Gains,Cash Receipts,121.25,0,33.57
12/15/2023 0:00,Vanguard Total Intl Stock Index I,Employee 401(k) Account,Dividends/Capital Gains,Purchase,121.25,0.277,33.57
12/15/2023 0:00,Vanguard Total Intl Stock Index I,Employer Matching Account,Dividends/Capital Gains,Cash Receipts,121.25,0,12.19
12/15/2023 0:00,Vanguard Total Intl Stock Index I,Employer Matching Account,Dividends/Capital Gains,Purchase,121.25,0.101,12.19
12/14/2023 0:00,American Funds Europacific Growth R6,Employee 401(k) Account,Dividends/Capital Gains,Cash Receipts,53.76,0,27.76
12/14/2023 0:00,American Funds Europacific Growth R6,Employee 401(k) Account,Dividends/Capital Gains,Purchase,53.76,0.516,27.76
12/14/2023 0:00,American Funds Europacific Growth R6,Employee 401(k) Account,Dividends/Capital Gains,Cash Receipts,53.76,0,23.48
12/14/2023 0:00,American Funds Europacific Growth R6,Employee 401(k) Account,Dividends/Capital Gains,Purchase,53.76,0.437,23.48
12/14/2023 0:00,American Funds Europacific Growth R6,Employer Matching Account,Dividends/Capital Gains,Cash Receipts,53.76,0,10.13
12/14/2023 0:00,American Funds Europacific Growth R6,Employer Matching Account,Dividends/Capital Gains,Purchase,53.76,0.188,10.13
12/14/2023 0:00,American Funds Europacific Growth R6,Employer Matching Account,Dividends/Capital Gains,Cash Receipts,53.76,0,8.57
12/14/2023 0:00,American Funds Europacific Growth R6,Employer Matching Account,Dividends/Capital Gains,Purchase,53.76,0.159,8.57
12/8/2023 0:00,Cash,Employee 401(k) Account,Contributions - Employee,Cash Receipts,1,0,264.78
12/8/2023 0:00,Cash,Employer Matching Account,Contributions - Employer,Cash Receipts,1,0,132.39
12/8/2023 0:00,Fidelity Inflation-Prot Bd Index,Employee 401(k) Account,Contributions - Employee,Purchase,9.18,0.577,5.3
12/8/2023 0:00,Fidelity Inflation-Prot Bd Index,Employer Matching Account,Contributions - Employer,Purchase,9.18,0.289,2.65
